"parent_industry","industry","company_id"
Professional Services,Business Services,76629
Retail,Other Retail,76629
Telecommunications,Communications Services,76629
Media,Media,76631
Education,Education,76631
Retail,Retail,76631
Construction,Construction,76634
Transportation,Transportation,76634
Retail,Retail,76634
Education,Education,76635
Professional Services,Software and IT Services,76640
Telecommunications,Communications Services,76640
Professional Services,Business Services,76645
Discrete Manufacturing,Automotive,76645
Construction,Construction,76645
Education,Education,76645
Retail,Retail,76645
Education,Education,76646
Professional Services,Business Services,76648
Construction,Construction,76648
Banking,Banking and Financial Services,76650
Utilities,Utilities,76652
Banking,Banking and Financial Services,76652
Professional Services,Software and IT Services,76653
Professional Services,Software and IT Services,76654
Professional Services,Business Services,76663
Education,Education,76663
Professional Services,Business Services,76665
Discrete Manufacturing,Automotive,76668
Education,Education,76668
Retail,Retail,76668
Construction,Construction,76670
Transportation,Transportation,76670
Retail,Retail,76670
Utilities,Utilities,76682
Education,Education,76683
Transportation,Transportation,76683
Retail,Retail,76683
Construction,Construction,76688
Education,Education,76694
Media,Media,76695
Media,Media,76696
Banking,Banking and Financial Services,76696
Professional Services,Business Services,76698
Banking,Banking and Financial Services,76698
Education,Education,76698
Professional Services,Business Services,76700
Professional Services,Software and IT Services,76700
Education,Education,76700
Discrete Manufacturing,Automotive,76701
Retail,Retail,76708
Banking,Banking and Financial Services,76712
Retail,Retail,76712
Telecommunications,Communications Services,76717
Education,Education,76717
Banking,Banking and Financial Services,76718
Education,Education,76718
Banking,Banking and Financial Services,76719
Insurance,Insurance Carriers,76719
Discrete Manufacturing,Other Discrete Manufacturing,76719
Education,Education,76721
Education,Education,76722
Construction,Construction,76725
Education,Education,76725
Education,Education,76731
Construction,Construction,76734
Banking,Banking and Financial Services,76739
Professional Services,Business Services,76740
Discrete Manufacturing,Discrete Manufacturing,76743
Banking,Banking and Financial Services,76743
Discrete Manufacturing,Automotive,76743
Construction,Construction,76743
Process Manufacturing,Process Manufacturing,76743
Education,Education,76743
Utilities,Utilities,76751
Media,Media,76751
Education,Education,76751
Banking,Banking and Financial Services,76756
Education,Education,76757
Utilities,Utilities,76758
Federal/Central Government,Federal/Central Government,76766
Professional Services,Business Services,76770
Education,Education,76774
Media,Media,76775
Banking,Banking and Financial Services,76775
Professional Services,Software and IT Services,76780
Discrete Manufacturing,Automotive,76780
Banking,Banking and Financial Services,76786
Retail,Retail,76788
Banking,Banking and Financial Services,76791
Education,Education,76791
Media,Media,76793
Education,Education,76796
Construction,Construction,76801
Professional Services,Business Services,76802
Banking,Banking and Financial Services,76802
Education,Education,76802
Transportation,Transportation,76802
Discrete Manufacturing,Automotive,76804
Education,Education,76804
Transportation,Transportation,76804
Utilities,Utilities,76807
Discrete Manufacturing,Automotive,76811
Education,Education,76811
Professional Services,Online Properties,76815
Transportation,Transportation,76817
Professional Services,Software and IT Services,76828
Professional Services,Business Services,76830
Banking,Banking and Financial Services,76830
Education,Education,76836
Banking,Banking and Financial Services,76839
Healthcare Provider,Health,76839
Construction,Construction,76846
Retail,Retail,76846
Media,Media,76848
Discrete Manufacturing,Automotive,76848
Construction,Construction,76848
Education,Education,76848
Transportation,Transportation,76848
Utilities,Utilities,76849
Construction,Construction,76849
Construction,Construction,76865
Utilities,Utilities,76867
Banking,Banking and Financial Services,76867
Construction,Construction,76868
Education,Education,76868
Transportation,Transportation,76869
Professional Services,Software and IT Services,76870
Telecommunications,Communications Services,76870
Education,Education,76871
Banking,Banking and Financial Services,76875
Construction,Construction,76875
Professional Services,Business Services,76876
Discrete Manufacturing,Automotive,76876
Education,Education,76876
Retail,Retail,76876
Construction,Construction,76880
Transportation,Transportation,76880
Banking,Banking and Financial Services,76886
Telecommunications,Communications Services,76890
Banking,Banking and Financial Services,76891
Discrete Manufacturing,Automotive,76891
Construction,Construction,76891
Education,Education,76891
Transportation,Transportation,76891
Banking,Banking and Financial Services,76892
Transportation,Transportation,76892
Retail,Retail,76892
Media,Media,76895
Construction,Construction,76895
Education,Education,76895
Retail,Retail,76897
Construction,Construction,76903
Education,Education,76903
Transportation,Transportation,76903
Retail,Retail,76903
Professional Services,Business Services,76904
Banking,Banking and Financial Services,76912
Media,Media,76915
Discrete Manufacturing,Automotive,76915
Education,Education,76915
Transportation,Transportation,76915
Retail,Retail,76915
Discrete Manufacturing,Automotive,76920
Professional Services,Software and IT Services,76921
Telecommunications,Communications Services,76921
Education,Education,76921
Healthcare Provider,Health,76921
Construction,Construction,76925
Professional Services,Business Services,76928
Telecommunications,Communications Services,76928
Discrete Manufacturing,Other Discrete Manufacturing,76928
Healthcare Provider,Health,76928
Construction,Construction,76931
Education,Education,76934
Media,Media,76937
Media,Media,76940
Banking,Banking and Financial Services,76940
